@relation ephenology_all-5-fold-3-13R.tra_val

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {M.rubiginosa,P.torta,A.tomentosum,C.brasiliensis,M.guianensis,P.ramiflora}

@data

0.339623,0.35034,0.343575,0.335211,0.34104,0.340237,0.335294,0.343465,0.343333,0.350482,0.360341,0.350877,0.338583,0.357143,0.337719,0.341935,0.340824,0.34632,0.345455,0.344569,0.343511,0.358156,0.341365,0.348361,0.348387,0.345382,0.345972,0.34322,0.353191,0.340909,0.346939,0.342857,0.336996,0.343173,0.333333,0.331933,4291,P.torta
0.32526,0.319693,0.318548,0.314894,0.319066,0.316602,0.318352,0.322807,0.320423,0.321534,0.320755,0.324455,0.322581,0.318052,0.329193,0.314861,0.330808,0.31746,0.329861,0.328571,0.327402,0.325203,0.32646,0.328076,0.325243,0.329457,0.323741,0.326316,0.326087,0.328571,0.327273,0.326861,0.325641,0.329609,0.328877,0.326165,821,M.rubiginosa
0.325503,0.32538,0.321839,0.325137,0.326705,0.324484,0.323171,0.323529,0.323353,0.321321,0.319239,0.323457,0.323353,0.320106,0.327731,0.318766,0.329327,0.328612,0.328173,0.328402,0.328221,0.325581,0.326219,0.335211,0.328947,0.325949,0.328221,0.326409,0.325733,0.329268,0.327703,0.333333,0.332481,0.334184,0.337963,0.32872,2796,P.torta
0.32342,0.325301,0.327759,0.32872,0.329825,0.327586,0.329861,0.331081,0.327815,0.322476,0.327907,0.323601,0.327815,0.321981,0.328221,0.314721,0.332518,0.323899,0.330128,0.334437,0.333333,0.327177,0.324759,0.332335,0.326683,0.328571,0.332168,0.327815,0.329861,0.327645,0.32872,0.327869,0.325,0.330667,0.336406,0.325342,1805,A.tomentosum
0.382759,0.383178,0.380952,0.391304,0.379447,0.371324,0.383117,0.384615,0.376206,0.369681,0.376984,0.359494,0.38141,0.370079,0.378505,0.355,0.365333,0.367847,0.365497,0.367089,0.372308,0.365116,0.363363,0.366569,0.358108,0.361194,0.362275,0.360215,0.366279,0.364458,0.364486,0.377709,0.356234,0.365333,0.37037,0.361516,3617,A.tomentosum
0.382263,0.385542,0.379205,0.377301,0.376947,0.3769,0.375,0.378788,0.376543,0.37971,0.384158,0.377261,0.382353,0.382271,0.384615,0.363905,0.37785,0.381538,0.378378,0.381538,0.37963,0.379032,0.382166,0.386228,0.381201,0.38024,0.383436,0.377581,0.389571,0.386707,0.387387,0.386364,0.378866,0.381862,0.379877,0.373656,5996,C.brasiliensis
0.371041,0.373786,0.366279,0.352041,0.364706,0.366279,0.365169,0.361582,0.35567,0.360825,0.368732,0.367424,0.363636,0.356757,0.363636,0.342593,0.36478,0.363636,0.371981,0.371981,0.370732,0.379592,0.376963,0.376812,0.380435,0.39781,0.376426,0.372385,0.382239,0.386831,0.374016,0.388235,0.358108,0.358974,0.355731,0.371901,3816,M.rubiginosa
0.384342,0.377419,0.37464,0.373887,0.379421,0.377551,0.380137,0.381625,0.37013,0.374194,0.381818,0.377358,0.38835,0.380952,0.375367,0.361032,0.372168,0.375817,0.375758,0.378882,0.381119,0.374396,0.383275,0.390558,0.385417,0.382514,0.380795,0.375375,0.378224,0.384127,0.381503,0.391304,0.373333,0.37844,0.369449,0.380165,4784,C.brasiliensis
0.37386,0.376147,0.365132,0.358804,0.365385,0.373333,0.360502,0.372549,0.365696,0.374194,0.373239,0.388889,0.375862,0.377193,0.371094,0.372611,0.382979,0.385593,0.395455,0.375,0.372294,0.380952,0.376344,0.386598,0.383966,0.389535,0.40625,0.395349,0.416667,0.392405,0.387097,0.366569,0.35867,0.360119,0.376623,0.35122,3814,A.tomentosum
