@relation ephenology_all-5-fold-1-14R.tra_val

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {M.rubiginosa,P.ramiflora,M.guianensis,C.brasiliensis,P.torta,A.tomentosum}

@data

0.32852,0.320542,0.327703,0.328221,0.325,0.322684,0.325581,0.32526,0.329032,0.326019,0.321981,0.32345,0.324582,0.332378,0.333333,0.325444,0.333333,0.335556,0.326219,0.324159,0.331081,0.307463,0.326347,0.313187,0.312821,0.317507,0.321555,0.326984,0.325521,0.323636,0.324042,0.321429,0.324759,0.323457,0.323529,0.312958,2814,P.torta
0.356164,0.366359,0.362637,0.354478,0.359155,0.34965,0.366337,0.361204,0.363636,0.380282,0.367412,0.368852,0.363636,0.369231,0.374302,0.366848,0.371508,0.367117,0.364432,0.366864,0.36858,0.365651,0.366667,0.349333,0.34715,0.363436,0.366569,0.365782,0.362025,0.363946,0.365385,0.363914,0.370253,0.360849,0.358056,0.360614,3601,M.rubiginosa
0.334928,0.340102,0.323671,0.326633,0.323671,0.33,0.325472,0.328358,0.329588,0.33871,0.320346,0.329412,0.329966,0.330233,0.333333,0.333333,0.334862,0.337884,0.333333,0.335025,0.32973,0.335025,0.33829,0.318937,0.310811,0.33677,0.338798,0.338028,0.328947,0.338798,0.336406,0.338028,0.339207,0.326667,0.328125,0.326347,3178,P.ramiflora
0.372197,0.378698,0.367089,0.375566,0.364035,0.36017,0.371429,0.378855,0.378289,0.368966,0.369565,0.365132,0.369637,0.366667,0.376344,0.385827,0.363958,0.372832,0.377863,0.375465,0.368821,0.374532,0.392617,0.366782,0.360544,0.378313,0.369748,0.383562,0.371711,0.383399,0.392982,0.383117,0.398089,0.372796,0.379433,0.361272,4430,M.guianensis
0.371585,0.378613,0.356688,0.363014,0.364261,0.373239,0.366782,0.378182,0.367347,0.36,0.355372,0.366883,0.363636,0.365248,0.374545,0.380282,0.377778,0.380783,0.378378,0.372,0.365957,0.372,0.37299,0.350598,0.340426,0.376068,0.375367,0.375375,0.362745,0.369718,0.373762,0.370474,0.380822,0.363171,0.367397,0.367347,4558,C.brasiliensis
0.214286,0.244505,0.226087,0.236486,0.227586,0.223776,0.183206,0.212329,0.222222,0.189655,0.216561,0.204969,0.237548,0.171429,0.208955,0.208333,0.217391,0.234615,0.185714,0.220779,0.211382,0.222222,0.258964,0.234528,0.22069,0.262238,0.217391,0.247525,0.269663,0.235669,0.248588,0.231293,0.244048,0.268212,0.227273,0.252101,6476,P.torta
0.354839,0.362676,0.355932,0.331683,0.342391,0.353535,0.350467,0.353591,0.350711,0.348548,0.338462,0.349345,0.353175,0.35023,0.35,0.349057,0.349558,0.360902,0.353488,0.347222,0.355,0.347826,0.362205,0.333333,0.333333,0.362869,0.357616,0.353261,0.346667,0.359712,0.370588,0.369427,0.365482,0.35461,0.347418,0.345528,3545,M.rubiginosa
0.377273,0.373494,0.372385,0.367347,0.371308,0.375,0.380282,0.383929,0.369004,0.382883,0.376289,0.377863,0.371336,0.383178,0.386364,0.378723,0.374016,0.376147,0.376033,0.373494,0.373391,0.379592,0.376206,0.359848,0.365079,0.36858,0.369718,0.365854,0.366197,0.367521,0.373737,0.373626,0.373077,0.371951,0.365591,0.368056,4767,C.brasiliensis
0.383721,0.369128,0.378549,0.371758,0.377143,0.377643,0.380531,0.393443,0.381988,0.383285,0.372168,0.376694,0.369347,0.38253,0.378788,0.379791,0.382637,0.381868,0.386441,0.382911,0.387755,0.39404,0.383202,0.368421,0.362791,0.379121,0.375,0.383178,0.366947,0.373134,0.389503,0.39521,0.392097,0.387654,0.380556,0.375622,5097,C.brasiliensis
0.356902,0.338824,0.346154,0.341463,0.350404,0.33642,0.33913,0.344262,0.339623,0.347079,0.347518,0.344311,0.345395,0.34657,0.348534,0.35034,0.343234,0.352657,0.35786,0.337748,0.34472,0.353135,0.340426,0.333333,0.339181,0.340625,0.349624,0.338462,0.326797,0.352632,0.345133,0.341584,0.347826,0.33945,0.338776,0.322485,5595,P.torta
0.384892,0.373711,0.368254,0.379433,0.368421,0.370717,0.369697,0.373771,0.366864,0.373041,0.368821,0.370262,0.370588,0.38,0.378641,0.376866,0.367647,0.378453,0.370607,0.369085,0.370607,0.368421,0.377049,0.363344,0.36478,0.373984,0.370607,0.367601,0.367781,0.376866,0.37963,0.375,0.38,0.371901,0.365385,0.365782,4414,C.brasiliensis
0.382609,0.379032,0.376712,0.378571,0.372822,0.373665,0.387097,0.380753,0.381481,0.382576,0.372951,0.371795,0.368571,0.377953,0.372263,0.381743,0.369637,0.383562,0.37415,0.379433,0.380074,0.383562,0.378151,0.363636,0.371622,0.386628,0.382239,0.380137,0.369281,0.374468,0.372263,0.375,0.376426,0.376731,0.376582,0.370968,4880,C.brasiliensis
0.306189,0.304721,0.320513,0.319876,0.305389,0.318182,0.310651,0.325444,0.294574,0.30625,0.309735,0.322222,0.301435,0.304878,0.289552,0.300595,0.306569,0.328947,0.330508,0.324022,0.325444,0.318713,0.315668,0.310811,0.31058,0.307506,0.301829,0.308333,0.317597,0.314286,0.298805,0.315942,0.284722,0.295122,0.294686,0.314607,3460,M.rubiginosa
0.373737,0.375315,0.371134,0.37037,0.368243,0.371237,0.369637,0.372881,0.36478,0.372308,0.361702,0.367647,0.366947,0.368078,0.372611,0.372414,0.37013,0.376731,0.372822,0.369863,0.367698,0.374172,0.377907,0.357827,0.357143,0.370262,0.366438,0.365696,0.366972,0.37247,0.371517,0.38,0.376947,0.374663,0.369186,0.367816,3842,M.rubiginosa
0.333333,0.340183,0.326733,0.334448,0.33119,0.34202,0.339394,0.35061,0.342318,0.345745,0.336111,0.338129,0.334821,0.341709,0.34359,0.345269,0.345,0.349372,0.34375,0.338753,0.339888,0.338798,0.344988,0.322581,0.324786,0.334852,0.340058,0.340599,0.334831,0.346939,0.346561,0.34,0.347458,0.334101,0.334286,0.335616,1063,C.brasiliensis
0.385246,0.380665,0.37224,0.376206,0.371711,0.379085,0.375,0.376238,0.373494,0.376307,0.364261,0.379947,0.371951,0.379888,0.387097,0.378613,0.38992,0.380835,0.392857,0.391185,0.387187,0.38814,0.382263,0.356589,0.361111,0.380952,0.384375,0.383436,0.36014,0.388393,0.379085,0.388889,0.386364,0.381818,0.369048,0.366197,5050,C.brasiliensis
0.337398,0.336986,0.32549,0.326848,0.325397,0.333333,0.326693,0.341667,0.333333,0.332103,0.326531,0.334507,0.337313,0.334764,0.338645,0.333333,0.338403,0.347181,0.334821,0.337963,0.333333,0.336585,0.342756,0.327703,0.323741,0.340278,0.331395,0.336538,0.336735,0.333333,0.335025,0.325714,0.338624,0.336634,0.333333,0.333333,3419,P.ramiflora
0.306011,0.33687,0.276747,0.276747,0.317935,0.290909,0.298343,0.304527,0.331558,0.332436,0.332443,0.333784,0.335099,0.308322,0.32349,0.325676,0.32747,0.325707,0.329715,0.31044,0.30643,0.327027,0.319293,0.335099,0.331536,0.328823,0.296399,0.325203,0.337317,0.31479,0.329744,0.319728,0.327517,0.332891,0.332432,0.338667,2683,M.rubiginosa
0.322835,0.328804,0.311224,0.304348,0.304762,0.311765,0.30102,0.318681,0.318367,0.325088,0.315126,0.321875,0.32376,0.323077,0.325424,0.313726,0.313364,0.327138,0.3125,0.313084,0.313901,0.317757,0.322981,0.319079,0.312102,0.325658,0.317536,0.314176,0.315412,0.310734,0.318966,0.327869,0.321569,0.320917,0.329004,0.317726,3505,P.torta
0.36,0.35905,0.365854,0.361257,0.342105,0.359116,0.361582,0.365169,0.34717,0.37,0.335227,0.341772,0.355212,0.349112,0.350962,0.345178,0.352332,0.369176,0.354167,0.369565,0.352113,0.365854,0.359517,0.337449,0.343511,0.358065,0.362416,0.347826,0.343629,0.34127,0.341463,0.343066,0.357955,0.355422,0.357576,0.345455,4040,A.tomentosum
0.362245,0.362117,0.382716,0.366492,0.361809,0.361386,0.372549,0.378788,0.370968,0.37069,0.36019,0.367816,0.358804,0.37069,0.369919,0.369565,0.371324,0.378641,0.37551,0.374016,0.369748,0.375,0.372483,0.354962,0.343284,0.371336,0.370833,0.374046,0.365591,0.375,0.379182,0.367347,0.377432,0.368732,0.363636,0.368243,3907,M.rubiginosa
0.359375,0.363905,0.355191,0.361842,0.363057,0.363636,0.360248,0.364964,0.362573,0.361386,0.369427,0.371859,0.366337,0.373016,0.363128,0.385135,0.381579,0.378261,0.383333,0.377049,0.372549,0.369231,0.372832,0.358268,0.346457,0.362018,0.352941,0.372881,0.362989,0.362963,0.371429,0.365517,0.358696,0.367925,0.37766,0.367647,4354,M.rubiginosa
0.384824,0.36902,0.371166,0.375405,0.370031,0.372881,0.369272,0.37971,0.371287,0.372146,0.376263,0.376782,0.382883,0.37234,0.382353,0.379227,0.367347,0.363636,0.362416,0.36044,0.362613,0.361884,0.364706,0.346633,0.341365,0.358369,0.369099,0.368304,0.360902,0.367568,0.364185,0.366876,0.368635,0.360417,0.362477,0.357456,5103,C.brasiliensis
