@relation ephenology_all-5-fold-3-17B.tra_val

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {M.rubiginosa,P.torta,A.tomentosum,C.brasiliensis,M.guianensis,P.ramiflora}

@data

0.324176,0.341108,0.334677,0.330896,0.326296,0.317719,0.308057,0.315673,0.315508,0.309896,0.322884,0.339943,0.309309,0.315104,0.322078,0.319712,0.320713,0.333333,0.326087,0.320413,0.327485,0.294702,0.322946,0.313916,0.308772,0.329032,0.31761,0.309859,0.320896,0.32646,0.319876,0.320946,0.329897,0.338762,0.321705,4291,P.torta
0.337413,0.371298,0.350365,0.348057,0.35,0.347426,0.344765,0.344029,0.350814,0.340461,0.349765,0.335498,0.350093,0.338534,0.330389,0.333333,0.322807,0.331597,0.329825,0.337434,0.331984,0.342995,0.340619,0.341398,0.335025,0.336237,0.343257,0.333333,0.338798,0.333969,0.340388,0.342175,0.338235,0.361328,0.332394,821,M.rubiginosa
0.359195,0.363636,0.339286,0.34,0.332553,0.332518,0.326087,0.336516,0.334917,0.349127,0.352941,0.3425,0.367397,0.353075,0.346734,0.332487,0.321078,0.333333,0.3375,0.342233,0.336449,0.343458,0.350467,0.335917,0.339779,0.353604,0.353579,0.34186,0.35729,0.346067,0.333333,0.335244,0.328395,0.355556,0.331412,2796,P.torta
0.323529,0.348416,0.315488,0.314126,0.306084,0.303435,0.314851,0.314961,0.328846,0.326733,0.34026,0.33871,0.341357,0.325497,0.309478,0.31746,0.29983,0.309811,0.305461,0.308874,0.313765,0.327103,0.317669,0.323607,0.324937,0.327132,0.325321,0.319626,0.322884,0.32247,0.317972,0.327177,0.330166,0.34584,0.325333,1805,A.tomentosum
0.294574,0.278317,0.323944,0.299595,0.313208,0.30315,0.291525,0.298611,0.297297,0.298137,0.309446,0.294574,0.299663,0.297368,0.287097,0.289773,0.300261,0.292169,0.301829,0.283489,0.305483,0.313364,0.311346,0.300261,0.299451,0.302632,0.312081,0.31454,0.302583,0.315589,0.327815,0.301282,0.29805,0.355705,0.305322,3617,A.tomentosum
0.284615,0.286096,0.276316,0.27897,0.277056,0.275,0.273764,0.275,0.290441,0.284722,0.293296,0.290076,0.279365,0.276923,0.283217,0.275093,0.275,0.278524,0.275618,0.272727,0.282548,0.287263,0.278443,0.278788,0.277929,0.279221,0.280757,0.278932,0.277612,0.278287,0.282051,0.281654,0.287016,0.29595,0.278736,5996,C.brasiliensis
0.340426,0.328431,0.348214,0.343478,0.34322,0.334764,0.320755,0.333333,0.344828,0.336364,0.342391,0.325926,0.333333,0.333333,0.341014,0.349558,0.346614,0.347826,0.344,0.344,0.342105,0.317829,0.327869,0.302905,0.318386,0.338028,0.329114,0.328947,0.341969,0.34375,0.338843,0.314961,0.305556,0.355856,0.312,3816,M.rubiginosa
0.306748,0.287293,0.308333,0.305344,0.30597,0.310078,0.30137,0.309677,0.310559,0.296482,0.296167,0.286111,0.292683,0.296296,0.307018,0.326531,0.29902,0.313514,0.310127,0.310976,0.278571,0.270195,0.294643,0.266212,0.278481,0.31694,0.318584,0.29771,0.32,0.319249,0.301887,0.285714,0.282776,0.304965,0.269481,4784,C.brasiliensis
0.320611,0.306723,0.319838,0.319328,0.310204,0.334646,0.318777,0.330508,0.330435,0.301653,0.327869,0.282392,0.286458,0.306513,0.304878,0.308725,0.299652,0.301158,0.313433,0.304167,0.277311,0.277778,0.264706,0.258216,0.266667,0.28934,0.253333,0.258065,0.263514,0.273224,0.281385,0.283912,0.292906,0.320423,0.296296,3814,A.tomentosum
0.302632,0.279736,0.241525,0.282051,0.26749,0.29703,0.275556,0.301653,0.282511,0.307692,0.317857,0.306818,0.305556,0.301587,0.284722,0.283388,0.278552,0.287625,0.289575,0.293103,0.302703,0.291457,0.30033,0.306818,0.294574,0.302041,0.300752,0.301003,0.309278,0.30605,0.312668,0.303665,0.296943,0.320122,0.306122,3832,M.rubiginosa
