@relation ephenology_all-5-fold-1-18G.tra_val

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {M.rubiginosa,P.ramiflora,M.guianensis,C.brasiliensis,P.torta,A.tomentosum}

@data

0.325942,0.331034,0.341202,0.335512,0.339357,0.334623,0.335953,0.339506,0.329787,0.338061,0.34507,0.346341,0.352713,0.337248,0.341847,0.333333,0.346457,0.345029,0.345588,0.33222,0.332162,0.346232,0.336406,0.345528,0.344828,0.336609,0.33936,0.337736,0.334653,0.34,0.325217,0.334043,0.335648,0.333333,0.317187,2814,P.torta
0.338565,0.337321,0.334177,0.333333,0.334951,0.339066,0.334123,0.332553,0.33584,0.342926,0.343137,0.338785,0.336245,0.340183,0.339286,0.329114,0.33713,0.340136,0.337379,0.336384,0.341463,0.341289,0.340686,0.341523,0.345763,0.336471,0.338164,0.337292,0.336245,0.340852,0.338095,0.342233,0.336683,0.34023,0.336735,3601,M.rubiginosa
0.325521,0.320197,0.316143,0.316594,0.317125,0.31291,0.31377,0.313501,0.313726,0.321739,0.314286,0.316294,0.321023,0.312668,0.320334,0.311224,0.307107,0.315508,0.309711,0.308962,0.30597,0.319277,0.317881,0.313889,0.323944,0.310897,0.312245,0.314516,0.318681,0.318681,0.315385,0.319527,0.320946,0.32107,0.310843,3178,P.ramiflora
0.321311,0.336043,0.33887,0.338608,0.333333,0.325424,0.32646,0.337838,0.327586,0.329932,0.334328,0.320261,0.326531,0.331126,0.332248,0.327645,0.322581,0.327922,0.326599,0.33121,0.326599,0.326165,0.329457,0.333333,0.331897,0.335878,0.33419,0.33815,0.336,0.337017,0.327635,0.347305,0.336,0.34349,0.331325,4430,M.guianensis
0.329268,0.335385,0.335907,0.337165,0.333333,0.328185,0.329787,0.33101,0.328413,0.32967,0.333333,0.33123,0.333333,0.332,0.333333,0.325397,0.317073,0.322709,0.325991,0.317647,0.326531,0.32377,0.319328,0.324,0.335135,0.327869,0.327273,0.326007,0.336391,0.337037,0.338762,0.337621,0.342424,0.338235,0.345912,4558,C.brasiliensis
0.318296,0.311927,0.321348,0.323276,0.323529,0.319915,0.318605,0.307692,0.317618,0.314286,0.307958,0.311258,0.305556,0.304598,0.308333,0.304455,0.303318,0.318538,0.303704,0.307175,0.317961,0.310881,0.306338,0.304124,0.314894,0.311047,0.321839,0.316038,0.315534,0.312343,0.313817,0.306569,0.296791,0.294643,0.309711,6476,P.torta
0.333333,0.332143,0.332075,0.340909,0.327645,0.334601,0.328413,0.335907,0.327068,0.333333,0.325203,0.32197,0.326087,0.315018,0.327206,0.327465,0.327068,0.323636,0.311538,0.316151,0.310345,0.319838,0.32766,0.319066,0.323529,0.311594,0.302949,0.311355,0.312715,0.318008,0.311419,0.319231,0.328125,0.315789,0.30719,3545,M.rubiginosa
0.35274,0.3531,0.356618,0.355401,0.354949,0.364286,0.361111,0.352349,0.356364,0.358696,0.354167,0.35473,0.357143,0.353612,0.357388,0.347305,0.340351,0.34386,0.347656,0.341727,0.351145,0.340909,0.352313,0.346429,0.347032,0.346801,0.343173,0.352727,0.350932,0.35206,0.347368,0.343333,0.341379,0.337386,0.34657,4767,C.brasiliensis
0.360743,0.35518,0.37224,0.364162,0.365439,0.361111,0.370474,0.356568,0.360465,0.36858,0.36,0.354592,0.354167,0.353125,0.356546,0.338926,0.343324,0.352778,0.352751,0.348083,0.361702,0.353623,0.347044,0.353623,0.337398,0.340541,0.352564,0.345029,0.345679,0.348485,0.354054,0.346535,0.352,0.341646,0.355301,5097,C.brasiliensis
0.327824,0.324263,0.326087,0.329843,0.323457,0.321337,0.322835,0.318182,0.316489,0.31677,0.320388,0.314103,0.324074,0.32,0.335329,0.324675,0.31383,0.330556,0.330435,0.324607,0.324176,0.330303,0.322034,0.33526,0.345455,0.346154,0.340369,0.34384,0.351275,0.357798,0.341333,0.349398,0.348214,0.354037,0.338753,5595,P.torta
0.345029,0.345794,0.346505,0.355623,0.350575,0.348083,0.347826,0.341667,0.345455,0.33758,0.338462,0.337313,0.341317,0.343042,0.340299,0.341954,0.342029,0.340058,0.340836,0.342183,0.340764,0.340694,0.339564,0.343465,0.336066,0.340116,0.342593,0.340299,0.345845,0.344828,0.340299,0.344928,0.337423,0.333333,0.341693,4414,C.brasiliensis
0.342679,0.342037,0.351449,0.342373,0.348276,0.344948,0.34,0.343849,0.346939,0.346032,0.345133,0.340058,0.345238,0.346405,0.345133,0.346269,0.345679,0.345679,0.346405,0.347826,0.352751,0.348387,0.349206,0.35082,0.342975,0.348214,0.341727,0.349515,0.349432,0.349823,0.347826,0.34375,0.341693,0.340491,0.35,4880,C.brasiliensis
0.319569,0.312992,0.325823,0.326194,0.327948,0.324503,0.336207,0.329053,0.331588,0.311508,0.308756,0.313883,0.331169,0.331624,0.338828,0.325342,0.337727,0.324742,0.337662,0.340116,0.344086,0.349462,0.337931,0.336824,0.334365,0.323108,0.334661,0.327896,0.340314,0.334951,0.338006,0.327068,0.334029,0.343891,0.325301,3460,M.rubiginosa
0.341146,0.343284,0.346939,0.345821,0.344538,0.346479,0.348901,0.345013,0.338109,0.342857,0.343931,0.340845,0.336066,0.339181,0.341667,0.338068,0.33711,0.339833,0.335329,0.33711,0.338235,0.335244,0.342424,0.336283,0.337662,0.339181,0.33432,0.337278,0.337838,0.338509,0.334302,0.334302,0.332394,0.33432,0.336336,3842,M.rubiginosa
0.318,0.321353,0.325581,0.320611,0.3186,0.318095,0.316794,0.321905,0.321932,0.325678,0.320276,0.320628,0.33004,0.329609,0.333333,0.335793,0.330134,0.336557,0.335238,0.332162,0.336431,0.339251,0.341151,0.343374,0.34375,0.344519,0.337931,0.344554,0.336614,0.342975,0.336614,0.339827,0.339367,0.334884,0.3361,1063,C.brasiliensis
0.329966,0.331412,0.336996,0.32971,0.335689,0.330855,0.325,0.329897,0.326165,0.322344,0.326984,0.319277,0.326861,0.323308,0.327586,0.334385,0.326389,0.322581,0.319328,0.326772,0.32377,0.311024,0.330739,0.325758,0.330233,0.328904,0.329317,0.326007,0.324159,0.323887,0.327138,0.321555,0.318996,0.32,0.32342,5050,C.brasiliensis
0.318066,0.319899,0.325269,0.321149,0.323232,0.321337,0.322251,0.325,0.322835,0.322314,0.328402,0.325581,0.335092,0.331606,0.335917,0.335025,0.335859,0.342857,0.34026,0.34058,0.34005,0.344444,0.347561,0.345304,0.346734,0.345048,0.338673,0.346995,0.34903,0.347826,0.343085,0.343374,0.346875,0.347222,0.336788,3419,P.ramiflora
0.334218,0.335989,0.333333,0.334651,0.332896,0.335544,0.335979,0.336,0.335535,0.33687,0.334667,0.336898,0.332893,0.335979,0.333775,0.334661,0.335544,0.335535,0.338216,0.334651,0.334651,0.335544,0.335106,0.335561,0.338255,0.335106,0.33377,0.331135,0.335535,0.337317,0.333333,0.336884,0.336,0.339166,0.335085,2683,M.rubiginosa
0.326531,0.341108,0.335917,0.336,0.335958,0.331565,0.328283,0.326425,0.333333,0.331658,0.322917,0.329577,0.32266,0.320755,0.315914,0.330667,0.314667,0.323782,0.313726,0.329082,0.3225,0.324638,0.323625,0.324324,0.334802,0.322188,0.316008,0.327731,0.326371,0.33518,0.32398,0.330435,0.315934,0.323944,0.322581,3505,P.torta
0.354949,0.362667,0.35119,0.357143,0.353261,0.357558,0.354749,0.349296,0.350877,0.359073,0.360324,0.363322,0.362989,0.353571,0.359862,0.351124,0.353293,0.35873,0.353535,0.347692,0.341772,0.348993,0.348649,0.351974,0.338843,0.346269,0.336449,0.342282,0.360704,0.345196,0.337705,0.344937,0.34,0.348387,0.34,4040,A.tomentosum
0.345161,0.347458,0.347826,0.347518,0.346154,0.34657,0.34386,0.342373,0.34296,0.334559,0.340278,0.340909,0.344482,0.337037,0.343643,0.341216,0.3391,0.340278,0.334559,0.334483,0.334532,0.33829,0.34589,0.335793,0.336735,0.340206,0.340426,0.343173,0.346154,0.34749,0.344948,0.340206,0.341216,0.344371,0.341379,3907,M.rubiginosa
0.357895,0.361905,0.348018,0.341772,0.350211,0.3361,0.342105,0.344697,0.343096,0.345238,0.347328,0.348276,0.34375,0.342857,0.347368,0.352941,0.343511,0.352941,0.344262,0.343396,0.351562,0.344697,0.346939,0.346863,0.336842,0.345395,0.348659,0.344828,0.346032,0.341667,0.343396,0.339416,0.339695,0.337793,0.341772,4354,M.rubiginosa
0.343902,0.345291,0.345845,0.338843,0.342175,0.344737,0.340967,0.341584,0.337596,0.338028,0.329545,0.327982,0.328054,0.339474,0.337596,0.335784,0.325758,0.333333,0.332394,0.328912,0.332394,0.325269,0.342391,0.332454,0.338583,0.334988,0.33237,0.331522,0.341176,0.335227,0.333333,0.336735,0.33713,0.33049,0.345361,5103,C.brasiliensis
0.312925,0.319809,0.322275,0.316159,0.318182,0.310263,0.319809,0.318627,0.328283,0.314578,0.32,0.312155,0.332454,0.325243,0.326531,0.333333,0.333333,0.340961,0.32439,0.324895,0.328571,0.334239,0.344221,0.33995,0.339286,0.335025,0.318345,0.33105,0.325843,0.330337,0.3286,0.323326,0.326347,0.328267,0.321995,4535,P.torta
0.329819,0.32358,0.333819,0.332344,0.333333,0.330696,0.3267,0.321895,0.324515,0.327553,0.32574,0.32008,0.333874,0.331023,0.3327,0.332054,0.335185,0.337232,0.341241,0.335474,0.334459,0.342105,0.324427,0.34127,0.332168,0.334873,0.336499,0.334586,0.329412,0.330241,0.329289,0.338462,0.340909,0.338501,0.318584,3358,M.rubiginosa
0.335347,0.319712,0.335526,0.324759,0.336601,0.324159,0.335385,0.336898,0.349206,0.349854,0.351585,0.346535,0.358025,0.36338,0.361751,0.353566,0.357013,0.360687,0.360515,0.353448,0.35,0.356766,0.350084,0.359779,0.342541,0.362934,0.358674,0.354671,0.354992,0.357914,0.353704,0.355072,0.352827,0.355805,0.356371,5368,C.brasiliensis
0.324841,0.327434,0.334646,0.330472,0.333333,0.339056,0.32967,0.330769,0.324,0.33452,0.335793,0.326797,0.337423,0.333333,0.337461,0.335366,0.342424,0.345048,0.325658,0.332288,0.332268,0.334495,0.334507,0.339161,0.324324,0.327703,0.334471,0.340824,0.339806,0.339768,0.336879,0.335714,0.335689,0.334459,0.324723,3672,A.tomentosum
0.316406,0.320113,0.322314,0.313808,0.317597,0.322275,0.30315,0.310345,0.3083,0.304348,0.307692,0.32069,0.331034,0.327434,0.318339,0.332288,0.338078,0.342466,0.342105,0.33642,0.346429,0.344937,0.341289,0.352113,0.336032,0.350254,0.353659,0.352,0.352018,0.351585,0.347319,0.352535,0.352941,0.349474,0.350446,5112,C.brasiliensis
0.334471,0.339286,0.345361,0.350384,0.342432,0.35376,0.354167,0.34901,0.333333,0.348432,0.339506,0.342593,0.340237,0.343849,0.345238,0.346555,0.345455,0.34384,0.334232,0.334204,0.33815,0.337469,0.338673,0.338095,0.332258,0.336493,0.334928,0.335749,0.339912,0.334917,0.334831,0.330233,0.334951,0.334091,0.338462,3906,M.rubiginosa
0.318501,0.324094,0.323782,0.322314,0.322314,0.319892,0.323155,0.329466,0.318066,0.334107,0.329032,0.326693,0.3361,0.339326,0.345703,0.336177,0.347107,0.344898,0.350877,0.35098,0.354767,0.347737,0.343972,0.353783,0.340314,0.352713,0.358491,0.351579,0.353729,0.353982,0.354077,0.359081,0.354406,0.351201,0.358974,5351,C.brasiliensis
0.346715,0.352201,0.348178,0.356,0.34749,0.348,0.347328,0.344828,0.342629,0.34127,0.34296,0.341637,0.340659,0.34188,0.346863,0.343629,0.341176,0.332061,0.342342,0.337398,0.341564,0.334746,0.347015,0.334728,0.345361,0.340996,0.342342,0.34874,0.334495,0.3379,0.341463,0.334586,0.340824,0.33101,0.34717,4956,C.brasiliensis
0.340102,0.336864,0.346561,0.348974,0.34375,0.341121,0.341801,0.334086,0.3425,0.336232,0.340909,0.333333,0.340599,0.334184,0.33908,0.336158,0.325926,0.334158,0.328042,0.333333,0.330709,0.328042,0.33815,0.333333,0.342857,0.329341,0.330435,0.330623,0.333333,0.3297,0.330645,0.332432,0.328446,0.329305,0.332394,5757,P.torta
0.335714,0.344371,0.349057,0.3379,0.348018,0.334821,0.337449,0.345528,0.334764,0.340164,0.334646,0.32967,0.335878,0.336283,0.335938,0.336207,0.330508,0.338912,0.333333,0.337607,0.330396,0.336283,0.338983,0.329004,0.340782,0.330798,0.337778,0.334694,0.333333,0.333333,0.332,0.330798,0.328185,0.324528,0.3361,4660,C.brasiliensis
0.34264,0.344729,0.353623,0.344353,0.346049,0.345304,0.338753,0.342618,0.347181,0.34384,0.350482,0.343042,0.344633,0.335196,0.339779,0.347267,0.342262,0.343558,0.340426,0.332418,0.33908,0.336538,0.340824,0.336478,0.337017,0.34058,0.325521,0.339683,0.341615,0.337662,0.333333,0.33887,0.335505,0.337302,0.331343,3251,P.ramiflora
0.31358,0.32398,0.321101,0.320093,0.322727,0.319613,0.319613,0.317536,0.314356,0.306818,0.307692,0.302053,0.311436,0.311628,0.31202,0.3225,0.32381,0.325123,0.318807,0.318359,0.305182,0.322581,0.321951,0.315909,0.330909,0.308026,0.334211,0.315094,0.311245,0.304673,0.305785,0.318083,0.319512,0.31,0.33795,2380,P.torta
0.334783,0.328947,0.332536,0.329646,0.328767,0.329621,0.338809,0.34104,0.340726,0.344894,0.347603,0.347619,0.344371,0.347349,0.351351,0.345259,0.353659,0.355102,0.350538,0.353783,0.364045,0.349901,0.344768,0.362222,0.342697,0.358149,0.369458,0.358744,0.353909,0.362745,0.364964,0.352535,0.349693,0.354486,0.357895,5365,C.brasiliensis
0.328767,0.322967,0.324786,0.326478,0.325123,0.325758,0.317073,0.323741,0.329049,0.321212,0.318021,0.320513,0.330409,0.325581,0.330484,0.336043,0.330667,0.334247,0.322314,0.324051,0.32345,0.334262,0.339806,0.330484,0.338164,0.341463,0.327027,0.340237,0.33795,0.339031,0.340852,0.340659,0.348485,0.355372,0.332447,5009,P.torta
